protein_cluster	dbgrp
pvp1048	13
pvp1048	6
pvp1049	13
pvp1049	6
pvp1050	13
pvp1050	6
pvp1051	13
pvp1051	6
pvp1052	13
pvp1052	6
pvp1053	13
pvp1053	22
pvp1053	6
pvp1054	13
pvp1054	6
pvp1055	13
pvp1055	6
pvp1056	13
pvp1056	6
pvp1057	13
pvp1057	6
pvp1058	13
pvp1058	18
pvp1058	2
pvp1058	22
pvp1058	3
pvp1058	6
pvp1059	13
pvp1059	6
pvp1060	13
pvp1060	6
pvp1061	13
pvp1061	6
pvp1062	13
pvp1062	6
pvp1063	13
pvp1063	6
pvp1064	1
pvp1064	1.054.O.
pvp1064	10
pvp1064	15
pvp1064	19
pvp1064	21
pvp1064	26
pvp1064	3
pvp1064	4
pvp1064	6
pvp1064	9
pvp1065	19
pvp1065	25
pvp1065	27
pvp1066	1
pvp1066	1.054.O.
pvp1066	1.144.O.
pvp1066	1.182.O.
pvp1066	19
pvp1066	26
pvp1066	27
pvp1066	33
pvp1066	9
pvp1067	13
pvp1067	6
pvp1068	13
pvp1068	6
pvp1069	1.205.O.
pvp1069	11
pvp1069	13
pvp1069	37
pvp1069	6
pvp1070	1.182.O.
pvp1070	10
pvp1070	19
pvp1070	3
pvp1071	13
pvp1071	15
pvp1071	17
pvp1071	6
pvp1072	1.031.O.
pvp1072	1.151.O.
pvp1072	1.232.O.
pvp1072	1.275.O.
pvp1072	1.276.O.
pvp1072	15
pvp1072	27
pvp1072	3
pvp1072	30
pvp1072	4
pvp1072	6
pvp1072	7
pvp1073	1.029.O.
pvp1073	1.151.O.
pvp1073	1.276.O.
pvp1073	15
pvp1073	21
pvp1073	27
pvp1073	3
pvp1073	30
pvp1073	4
pvp1073	6
pvp1073	7
pvp1074	19
pvp1074	27
pvp1075	19
pvp1075	27
pvp1076	19
pvp1076	27
pvp1077	19
pvp1077	27
pvp1078	19
pvp1078	27
pvp1079	1.182.O.
pvp1079	1.232.O.
pvp1079	10
pvp1079	19
pvp1079	2
pvp1079	25
pvp1079	3
pvp1080	1.123.O.
pvp1080	15
pvp1080	3
pvp1080	4
pvp1081	1.029.O.
pvp1081	1.182.O.
pvp1081	1.205.O.
pvp1081	1.232.O.
pvp1081	1.275.O.
pvp1081	19
pvp1081	3
pvp1081	34
pvp1081	4
pvp1081	7
pvp1082	1.123.O.
pvp1082	19
pvp1082	26
pvp1082	27
pvp1082	33
pvp1082	34
pvp1082	4
pvp1082	7
pvp1082	9
pvp1083	19
pvp1083	21
pvp1083	7
pvp1084	1
pvp1084	1.123.O.
pvp1084	15
pvp1084	18
pvp1084	24
pvp1084	26
pvp1084	27
pvp1084	3
pvp1084	33
pvp1084	4
pvp1084	7
pvp1085	1.009.O.
pvp1085	13
pvp1085	6
pvp1086	13
pvp1086	6
pvp1087	1
pvp1087	1.054.O.
pvp1087	19
pvp1087	26
pvp1087	27
pvp1087	9
pvp1088	13
pvp1088	6
pvp1089	13
pvp1089	19
pvp1089	32
pvp1089	6
pvp1090	1
pvp1090	10
pvp1090	13
pvp1090	3
pvp1090	38
pvp1090	4
pvp1091	13
pvp1091	6
pvp1092	1.029.O.
pvp1092	1.054.O.
pvp1092	13
pvp1092	19
pvp1092	21
pvp1092	27
pvp1092	3
pvp1092	30
pvp1092	4
pvp1092	6
pvp1092	9
pvp1093	1.182.O.
pvp1093	19
pvp1094	1.182.O.
pvp1094	19
pvp1095	1.182.O.
pvp1095	19
pvp1096	1.182.O.
pvp1096	19
pvp1097	1.276.O.
pvp1097	15
pvp1097	19
pvp1097	26
pvp1097	27
pvp1097	33
pvp1098	1
pvp1098	1.029.O.
pvp1098	15
pvp1098	19
pvp1098	21
pvp1098	26
pvp1098	3
pvp1098	33
pvp1098	4
pvp1098	9
pvp1099	1.029.O.
pvp1099	1.144.O.
pvp1099	1.151.O.
pvp1099	1.275.O.
pvp1099	17
pvp1099	19
pvp1099	26
pvp1099	27
pvp1099	31
pvp1099	34
pvp1099	7
pvp1100	1.144.O.
pvp1100	1.151.O.
pvp1100	1.276.O.
pvp1100	15
pvp1100	19
pvp1100	26
pvp1100	27
pvp1100	33
pvp1100	36
pvp1100	41
pvp1101	1.182.O.
pvp1101	19
pvp1102	1.182.O.
pvp1102	19
pvp1103	1.182.O.
pvp1103	19
pvp1104	1
pvp1104	1.144.O.
pvp1104	1.182.O.
pvp1104	1.205.O.
pvp1104	1.275.O.
pvp1104	19
pvp1104	26
pvp1104	27
pvp1104	3
pvp1104	33
pvp1104	9
pvp1105	1
pvp1105	1.054.O.
pvp1105	15
pvp1105	19
pvp1105	27
pvp1105	3
pvp1105	33
pvp1105	34
pvp1105	7
pvp1106	13
pvp1106	6
pvp1107	13
pvp1107	41
pvp1107	6
pvp1108	1
pvp1108	1.144.O.
pvp1108	1.275.O.
pvp1108	1.276.O.
pvp1108	26
pvp1108	27
pvp1108	33
pvp1108	9
pvp1109	1
pvp1109	1.144.O.
pvp1109	1.276.O.
pvp1109	26
pvp1109	27
pvp1109	33
pvp1109	9
pvp1110	1
pvp1110	1.144.O.
pvp1110	1.276.O.
pvp1110	26
pvp1110	27
pvp1110	33
pvp1110	9
pvp1111	1
pvp1111	1.144.O.
pvp1111	1.276.O.
pvp1111	26
pvp1111	27
pvp1111	33
pvp1111	9
pvp1112	1
pvp1112	1.144.O.
pvp1112	1.276.O.
pvp1112	26
pvp1112	27
pvp1112	33
pvp1112	9
pvp1113	1
pvp1113	1.054.O.
pvp1113	1.144.O.
pvp1113	1.276.O.
pvp1113	26
pvp1113	27
pvp1113	33
pvp1113	9
pvp1114	19
pvp1115	1.182.O.
pvp1115	19
pvp1116	1
pvp1116	1.144.O.
pvp1116	15
pvp1116	26
pvp1116	3
pvp1116	4
pvp1116	9
pvp1117	13
pvp1117	6
pvp1118	13
pvp1118	6
pvp1119	15
pvp1119	19
pvp1119	27
pvp1119	29
pvp1119	3
pvp1119	34
pvp1119	4
pvp1120	1
pvp1120	13
pvp1120	3
pvp1120	6
pvp1120	9
pvp1121	11
pvp1121	12
pvp1121	19
pvp1121	21
pvp1121	26
pvp1121	30
pvp1121	38
pvp1121	7
pvp1121	9
pvp1122	1
pvp1122	1.144.O.
pvp1122	1.276.O.
pvp1122	26
pvp1122	27
pvp1122	33
pvp1122	9
pvp1123	1.182.O.
pvp1123	19
pvp1124	1
pvp1124	1.205.O.
pvp1124	1.275.O.
pvp1124	11
pvp1124	16
pvp1124	19
pvp1124	21
pvp1124	26
pvp1124	3
pvp1124	34
pvp1124	7
pvp1124	9
pvp1125	18
pvp1125	19
pvp1125	22
pvp1125	30
pvp1126	10
pvp1126	11
pvp1126	16
pvp1126	2
pvp1126	23
pvp1126	6
pvp1127	1
pvp1127	1.144.O.
pvp1127	26
pvp1127	27
pvp1127	33
pvp1127	9
pvp1128	1
pvp1128	1.144.O.
pvp1128	1.276.O.
pvp1128	26
pvp1128	27
pvp1128	9
pvp1129	13
pvp1129	3
pvp1129	6
pvp1130	13
pvp1130	6
pvp1131	1.009.O.
pvp1131	13
pvp1131	6
pvp1132	1
pvp1132	15
pvp1132	26
pvp1132	27
pvp1132	4
pvp1133	10
pvp1133	11
pvp1133	15
pvp1133	19
pvp1133	3
pvp1133	41
pvp1134	1.009.O.
pvp1134	13
pvp1134	6
pvp1135	10
pvp1135	13
pvp1135	3
pvp1136	1.182.O.
pvp1136	1.232.O.
pvp1136	15
pvp1136	19
pvp1136	21
pvp1136	24
pvp1136	26
pvp1136	27
pvp1136	3
pvp1136	33
pvp1136	4
pvp1136	6
pvp1136	7
pvp1137	10
pvp1137	3
pvp1137	30
pvp1137	4
pvp1137	41
pvp1138	19
pvp1138	26
pvp1138	27
pvp1139	1
pvp1139	1.275.O.
pvp1139	17
pvp1139	19
pvp1139	3
pvp1139	34
pvp1139	7
pvp1139	8
pvp1140	13
pvp1140	6
pvp1141	13
pvp1141	19
pvp1142	1
pvp1142	1.144.O.
pvp1142	17
pvp1142	19
pvp1142	26
pvp1142	27
pvp1142	29
pvp1142	33
pvp1142	9
pvp1143	1.054.O.
pvp1143	1.182.O.
pvp1143	19
pvp1143	28
pvp1144	1.275.O.
pvp1144	10
pvp1144	17
pvp1144	3
pvp1144	7
pvp1145	13
pvp1145	3
pvp1145	6
pvp1146	1
pvp1146	1.276.O.
pvp1146	19
pvp1146	21
pvp1146	26
pvp1146	27
pvp1146	3
pvp1146	33
pvp1146	9
pvp1147	1.182.O.
pvp1147	19
pvp1147	27
pvp1147	9
pvp1148	1.123.O.
pvp1148	13
pvp1148	15
pvp1148	17
pvp1148	18
pvp1148	19
pvp1148	21
pvp1148	23
pvp1148	26
pvp1148	27
pvp1148	3
pvp1148	30
pvp1148	4
pvp1148	6
pvp1148	9
pvp1149	1.029.O.
pvp1149	1.054.O.
pvp1149	1.123.O.
pvp1149	17
pvp1149	4
pvp1149	9
pvp1150	19
pvp1151	1
pvp1151	1.144.O.
pvp1151	14
pvp1151	26
pvp1151	7
pvp1151	9
pvp1152	1
pvp1152	1.029.O.
pvp1152	1.144.O.
pvp1152	1.182.O.
pvp1152	19
pvp1152	26
pvp1152	27
pvp1152	33
pvp1153	13
pvp1153	6
pvp1154	13
pvp1154	6
pvp1155	13
pvp1155	3
pvp1156	13
pvp1156	6
pvp1157	1.151.O.
pvp1157	19
pvp1158	1.009.O.
pvp1158	1.029.O.
pvp1158	1.054.O.
pvp1158	30
pvp1158	4
pvp1158	9
pvp1159	1
pvp1159	1.144.O.
pvp1159	26
pvp1159	27
pvp1159	33
pvp1159	9
pvp1160	1
pvp1160	1.054.O.
pvp1160	1.144.O.
pvp1160	1.275.O.
pvp1160	1.276.O.
pvp1160	33
pvp1160	7
pvp1160	9
pvp1161	1.009.O.
pvp1161	10
pvp1161	18
pvp1161	23
pvp1161	3
pvp1162	1.009.O.
pvp1162	1.123.O.
pvp1162	10
pvp1162	24
pvp1162	3
pvp1163	13
pvp1163	6
pvp1164	13
pvp1165	13
pvp1166	15
pvp1166	4
pvp1167	15
pvp1167	4
pvp1168	15
pvp1168	4
pvp1169	15
pvp1169	4
pvp1170	19
pvp1171	19
pvp1172	1.029.O.
pvp1172	1.054.O.
pvp1172	1.123.O.
pvp1172	4
pvp1172	9
pvp1173	1.029.O.
pvp1173	1.054.O.
pvp1173	1.123.O.
pvp1173	4
pvp1173	9
pvp1174	1.029.O.
pvp1174	1.054.O.
pvp1174	1.123.O.
pvp1174	4
pvp1174	9
pvp1175	1.029.O.
pvp1175	1.054.O.
pvp1175	1.123.O.
pvp1175	4
pvp1175	9
pvp1176	1
pvp1176	1.276.O.
pvp1176	19
pvp1176	29
pvp1176	33
pvp1176	9
pvp1177	19
pvp1178	13
pvp1179	13
pvp1180	1.029.O.
pvp1180	1.054.O.
pvp1180	4
pvp1180	9
pvp1181	1.029.O.
pvp1181	1.054.O.
pvp1181	4
pvp1181	9
pvp1182	1.029.O.
pvp1182	1.054.O.
pvp1182	4
pvp1182	9
pvp1183	1.029.O.
pvp1183	1.054.O.
pvp1183	4
pvp1183	9
pvp1184	1.182.O.
pvp1184	19
pvp1185	1.029.O.
pvp1185	19
pvp1186	40
pvp1186	5
pvp1187	40
pvp1187	5
pvp1188	40
pvp1188	5
pvp1189	40
pvp1189	5
pvp1190	40
pvp1190	5
pvp1191	1.009.O.
pvp1191	10
pvp1191	3
pvp1192	1.009.O.
pvp1192	10
pvp1192	3
pvp1193	1.009.O.
pvp1193	10
pvp1193	3
pvp1194	1.009.O.
pvp1194	10
pvp1194	3
pvp1195	1.009.O.
pvp1195	10
pvp1195	3
pvp1196	1.009.O.
pvp1196	10
pvp1196	3
pvp1197	1.009.O.
pvp1197	10
pvp1197	3
pvp1198	1.009.O.
pvp1198	10
pvp1198	3
pvp1199	1.275.O.
pvp1199	10
pvp1199	3
pvp1200	1.009.O.
pvp1200	10
pvp1200	3
pvp1201	1.009.O.
pvp1201	10
pvp1201	3
pvp1202	1.009.O.
pvp1202	10
pvp1202	3
pvp1203	1.009.O.
pvp1203	10
pvp1203	3
pvp1204	1.009.O.
pvp1204	10
pvp1204	3
pvp1205	1.009.O.
pvp1205	10
pvp1205	3
pvp1206	1.009.O.
pvp1206	1.205.O.
pvp1206	12
pvp1206	28
pvp1206	32
pvp1206	38
pvp1206	7
pvp1207	13
pvp1207	6
pvp1208	1
pvp1208	1.144.O.
pvp1208	15
pvp1208	26
pvp1208	4
pvp1208	9
pvp1209	13
pvp1210	19
pvp1210	27
pvp1211	19
pvp1212	19
pvp1213	1.151.O.
pvp1213	19
pvp1213	7
pvp1214	1
pvp1214	2
pvp1214	23
pvp1214	26
pvp1215	1
pvp1215	1.232.O.
pvp1215	1.276.O.
pvp1215	27
pvp1215	33
pvp1215	9
pvp1216	10
pvp1216	3
pvp1217	10
pvp1217	3
pvp1218	10
pvp1218	3
pvp1219	13
pvp1219	15
pvp1219	26
pvp1219	3
pvp1219	6
pvp1220	10
pvp1220	3
pvp1221	10
pvp1221	3
pvp1222	10
pvp1222	3
pvp1223	13
pvp1223	6
pvp1224	1.205.O.
pvp1224	11
pvp1224	2
pvp1224	3
pvp1224	34
pvp1224	6
pvp1224	7
pvp1225	13
pvp1225	6
pvp1226	5
pvp1227	5
pvp1228	5
pvp1229	5
pvp1230	5
pvp1231	5
pvp1232	5
pvp1233	5
pvp1234	5
pvp1235	5
pvp1236	5
pvp1237	5
pvp1238	5
pvp1239	12
pvp1239	18
pvp1239	22
pvp1239	23
pvp1239	30
pvp1239	38
pvp1239	39
pvp1239	41
pvp1240	1
pvp1240	1.275.O.
pvp1240	1.276.O.
pvp1240	27
pvp1240	33
pvp1240	9
pvp1241	1
pvp1241	26
pvp1241	27
pvp1241	33
pvp1241	9
pvp1242	1
pvp1242	1.054.O.
pvp1242	1.275.O.
pvp1242	1.276.O.
pvp1242	33
pvp1242	7
pvp1242	9
pvp1243	1
pvp1243	12
pvp1243	27
pvp1243	9
pvp1244	19
pvp1245	19
pvp1246	1
pvp1246	1.054.O.
pvp1246	19
pvp1246	26
pvp1246	27
pvp1246	9
pvp1247	10
pvp1247	3
pvp1248	15
pvp1248	4
pvp1249	15
pvp1249	19
pvp1249	3
pvp1249	33
pvp1249	4
pvp1249	6
pvp1250	13
pvp1251	1.144.O.
pvp1251	1.151.O.
pvp1251	1.276.O.
pvp1251	26
pvp1251	27
pvp1251	33
pvp1252	1.276.O.
pvp1252	27
pvp1252	4
pvp1253	1.054.O.
pvp1253	21
pvp1253	35
pvp1253	4
pvp1254	6
pvp1255	1
pvp1255	18
pvp1255	26
pvp1255	33
pvp1255	4
pvp1255	41
pvp1255	9
pvp1256	19
pvp1257	10
pvp1257	3
pvp1258	1
pvp1258	1.054.O.
pvp1258	19
pvp1258	28
pvp1258	3
pvp1258	6
pvp1258	9
pvp1259	13
pvp1259	6
pvp1260	1.144.O.
pvp1260	1.276.O.
pvp1260	26
pvp1260	27
pvp1260	33
pvp1261	1.054.O.
pvp1261	1.123.O.
pvp1261	4
pvp1262	17
pvp1262	4
pvp1263	19
pvp1264	1.009.O.
pvp1264	10
pvp1264	16
pvp1264	2
pvp1265	1
pvp1265	1.144.O.
pvp1265	33
pvp1265	9
pvp1266	14
pvp1266	5
pvp1267	1.144.O.
pvp1267	1.151.O.
pvp1267	1.276.O.
pvp1267	15
pvp1267	26
pvp1267	27
pvp1267	33
pvp1268	3
pvp1268	4
pvp1269	19
pvp1270	19
pvp1271	20
pvp1271	4
pvp1272	1.054.O.
pvp1272	1.232.O.
pvp1272	15
pvp1272	19
pvp1272	21
pvp1272	27
pvp1272	4
pvp1272	7
pvp1273	19
pvp1273	4
pvp1274	1.151.O.
pvp1274	12
pvp1274	2
pvp1274	26
pvp1274	29
pvp1274	38
pvp1275	12
pvp1275	18
pvp1275	22
pvp1275	23
pvp1275	39
pvp1275	41
pvp1276	12
pvp1276	18
pvp1276	22
pvp1276	23
pvp1276	39
pvp1276	41
pvp1277	1.031.O.
pvp1277	12
pvp1277	18
pvp1277	22
pvp1277	23
pvp1277	39
pvp1277	41
pvp1278	1
pvp1278	26
pvp1278	27
pvp1278	33
pvp1278	9
pvp1279	1
pvp1279	26
pvp1279	27
pvp1279	33
pvp1279	9
pvp1280	19
pvp1280	26
pvp1280	33
pvp1280	9
pvp1281	15
pvp1281	26
pvp1281	3
pvp1281	33
pvp1281	7
pvp1282	1.151.O.
pvp1282	17
pvp1282	3
pvp1282	36
pvp1282	6
pvp1283	15
pvp1283	4
pvp1284	1.029.O.
pvp1284	1.182.O.
pvp1284	1.232.O.
pvp1284	19
pvp1284	26
pvp1284	27
pvp1284	7
pvp1285	1
pvp1285	1.054.O.
pvp1285	1.151.O.
pvp1285	1.205.O.
pvp1285	19
pvp1285	26
pvp1285	9
pvp1286	12
pvp1286	38
pvp1286	6
pvp1287	4
pvp1288	23
pvp1288	4
pvp1289	4
pvp1290	4
pvp1291	4
pvp1292	4
pvp1293	4
pvp1294	4
pvp1295	4
pvp1296	4
pvp1297	4
pvp1298	4
pvp1299	4
pvp1300	4
pvp1301	4
pvp1302	4
pvp1303	6
pvp1304	2
pvp1304	26
pvp1304	28
pvp1305	1
pvp1305	19
pvp1305	27
pvp1305	33
pvp1306	19
pvp1306	3
pvp1307	19
pvp1308	1.276.O.
pvp1308	26
pvp1308	27
pvp1308	9
pvp1309	1.276.O.
pvp1309	26
pvp1309	27
pvp1309	9
pvp1310	12
pvp1310	32
pvp1310	38
pvp1311	12
pvp1311	32
pvp1311	38
pvp1312	12
pvp1312	32
pvp1312	38
pvp1313	12
pvp1313	32
pvp1313	38
pvp1314	12
pvp1314	32
pvp1314	38
pvp1315	12
pvp1315	32
pvp1315	38
pvp1316	12
pvp1316	32
pvp1316	38
pvp1317	4
pvp1318	12
pvp1318	32
pvp1318	38
pvp1319	12
pvp1319	32
pvp1319	38
pvp1320	1
pvp1320	1.054.O.
pvp1320	1.144.O.
pvp1320	10
pvp1320	33
pvp1320	9
pvp1321	1
pvp1321	1.123.O.
pvp1321	1.144.O.
pvp1321	10
pvp1321	33
pvp1321	9
pvp1322	1.151.O.
pvp1322	19
pvp1322	30
pvp1322	31
pvp1322	36
pvp1322	7
pvp1323	1
pvp1323	18
pvp1323	19
pvp1323	23
pvp1323	30
pvp1323	33
pvp1323	9
pvp1324	11
pvp1324	18
pvp1324	22
pvp1324	23
pvp1324	30
pvp1324	39
pvp1324	41
pvp1325	1
pvp1325	1.275.O.
pvp1325	34
pvp1326	1
pvp1326	26
pvp1326	27
pvp1326	9
pvp1327	1
pvp1327	1.182.O.
pvp1327	1.262.O.
pvp1327	19
pvp1327	22
pvp1327	4
pvp1328	10
pvp1328	3
pvp1329	1
pvp1329	1.144.O.
pvp1329	15
pvp1329	24
pvp1329	27
pvp1329	3
pvp1329	4
pvp1329	7
pvp1329	9
pvp1330	27
pvp1330	33
pvp1330	35
pvp1330	4
pvp1330	6
pvp1331	19
pvp1332	1.123.O.
pvp1332	1.276.O.
pvp1332	26
pvp1332	27
pvp1332	33
pvp1332	7
pvp1332	9
pvp1333	4
pvp1334	1.123.O.
pvp1334	1.144.O.
pvp1334	10
pvp1334	33
pvp1334	9
pvp1335	1.123.O.
pvp1335	1.144.O.
pvp1335	10
pvp1335	33
pvp1335	9
pvp1336	1.123.O.
pvp1336	1.144.O.
pvp1336	10
pvp1336	33
pvp1336	9
pvp1337	1.123.O.
pvp1337	1.144.O.
pvp1337	10
pvp1337	33
pvp1337	9
pvp1338	1
pvp1338	34
pvp1339	19
pvp1340	19
pvp1341	1.182.O.
pvp1341	19
pvp1342	10
pvp1342	3
pvp1343	24
pvp1343	3
pvp1344	1.123.O.
pvp1344	15
pvp1344	16
pvp1345	19
pvp1346	19
pvp1347	18
pvp1347	22
pvp1347	23
pvp1347	32
pvp1347	39
pvp1348	1.123.O.
pvp1348	1.276.O.
pvp1348	22
pvp1348	26
pvp1348	27
pvp1348	33
pvp1348	37
pvp1349	1.276.O.
pvp1349	26
pvp1349	27
pvp1349	33
pvp1349	7
pvp1349	9
pvp1350	1
pvp1350	1.054.O.
pvp1350	19
pvp1350	26
pvp1350	33
pvp1351	4
pvp1352	1
pvp1352	4
pvp1352	6
pvp1352	9
pvp1353	1.182.O.
pvp1353	19
pvp1353	7
pvp1354	19
pvp1355	19
pvp1356	20
pvp1356	35
pvp1356	37
pvp1356	8
pvp1357	20
pvp1357	35
pvp1357	37
pvp1357	8
pvp1358	20
pvp1358	35
pvp1358	37
pvp1358	8
pvp1359	20
pvp1359	35
pvp1359	37
pvp1359	8
pvp1360	6
pvp1361	6
pvp1362	19
pvp1362	27
pvp1363	1.031.O.
pvp1363	22
pvp1363	3
pvp1363	39
pvp1363	41
pvp1364	16
pvp1364	2
pvp1365	18
pvp1365	22
pvp1365	23
pvp1365	25
pvp1365	30
pvp1366	2
pvp1366	25
pvp1366	7
pvp1367	1
pvp1367	1.144.O.
pvp1367	1.276.O.
pvp1367	27
pvp1367	9
pvp1368	1
pvp1368	17
pvp1368	3
pvp1368	33
pvp1368	4
pvp1368	7
pvp1368	9
pvp1369	1.151.O.
pvp1369	24
pvp1369	3
pvp1370	1.054.O.
pvp1370	1.151.O.
pvp1370	17
pvp1370	3
pvp1370	7
pvp1371	1.144.O.
pvp1371	1.276.O.
pvp1371	15
pvp1371	27
pvp1371	33
pvp1372	19
pvp1373	1.182.O.
pvp1373	19
pvp1374	15
pvp1374	19
pvp1374	26
pvp1374	30
pvp1374	33
pvp1374	4
pvp1374	6
pvp1375	1.151.O.
pvp1375	1.276.O.
pvp1375	26
pvp1375	33
pvp1376	1.151.O.
pvp1376	1.276.O.
pvp1376	26
pvp1376	33
pvp1377	1
pvp1377	1.275.O.
pvp1377	23
pvp1377	26
pvp1377	27
pvp1377	30
pvp1377	33
pvp1377	9
pvp1378	1.276.O.
pvp1378	26
pvp1378	27
pvp1379	1.144.O.
pvp1379	1.276.O.
pvp1379	26
pvp1379	27
pvp1379	33
pvp1380	12
pvp1380	26
pvp1380	27
pvp1380	3
pvp1381	12
pvp1381	32
pvp1382	28
pvp1382	4
pvp1383	1.123.O.
pvp1383	1.144.O.
pvp1383	10
pvp1383	33
pvp1383	9
pvp1384	4
pvp1385	3
pvp1385	4
pvp1386	1.029.O.
pvp1386	1.054.O.
pvp1386	1.232.O.
pvp1386	34
pvp1386	7
pvp1386	9
pvp1387	6
pvp1388	1.205.O.
pvp1388	6
pvp1389	6
pvp1390	5
pvp1391	1.182.O.
pvp1391	18
pvp1391	19
pvp1391	2
pvp1391	23
pvp1392	18
pvp1392	20
pvp1392	23
pvp1392	30
pvp1392	41
pvp1393	1
pvp1393	34
pvp1394	1
pvp1394	1.275.O.
pvp1394	21
pvp1395	1
pvp1395	26
pvp1395	27
pvp1395	3
pvp1395	4
pvp1396	10
pvp1396	3
pvp1397	3
pvp1398	15
pvp1398	17
pvp1398	4
pvp1399	1.151.O.
pvp1399	15
pvp1399	19
pvp1400	1
pvp1400	19
pvp1400	6
pvp1401	1.276.O.
pvp1401	26
pvp1401	33
pvp1402	1.276.O.
pvp1402	26
pvp1402	33
pvp1403	1.276.O.
