organism	protein_cluster
1.038.O.	pvp1003
1.286.O.	pvp1003
1.084.O.	pvp1003
1.075.O.	pvp1003
1.094.O.	pvp1003
1.017.O.	pvp1003
1.158.O.	pvp1003
1.124.O.	pvp1003
1.225.O.	pvp1003
1.105.O.	pvp1003
1.248.O.	pvp1003
1.191.O.	pvp1003
1.173.O.	pvp1003
1.201.B.	pvp1003
1.177.O.	pvp1003
1.216.O.	pvp1003
1.247.B.	pvp1003
1.247.A.	pvp1003
1.199.B.	pvp1003
1.144.O.	pvp1003
1.181.O.	pvp1003
1.284.A.	pvp1003
1.287.O.	pvp1003
1.164.O.	pvp1003
1.213.O.	pvp1003
1.291.O.	pvp1003
1.243.O.	pvp1003
1.137.O.	pvp1003
1.113.A.	pvp1003
1.013.O.	pvp1003
1.005.O.	pvp1003
1.263.A.	pvp1003
1.127.O.	pvp1003
12G01.O.	pvp1003
1.039.O.	pvp1003
1.067.O.	pvp1003
2.095.A.	pvp1003
1.154.O.	pvp1003
1.256.O.	pvp1003
1.093.O.	pvp1003
1.199.A.	pvp1003
1.122.A.	pvp1003
1.122.B.	pvp1003
1.091.O.	pvp1003
1.090.B.	pvp1003
1.151.O.	pvp1003
1.135.O.	pvp1003
2.095.B.	pvp1003
1.061.O.	pvp1003
1.263.B.	pvp1003
1.112.O.	pvp1003
1.161.O.	pvp1003
1.101.O.	pvp1003
1.265.O.	pvp1003
1.042.O.	pvp1003
1.121.O.	pvp1003
1.054.O.	pvp1003
1.278.O.	pvp1003
1.123.O.	pvp1003
1.052.A.	pvp1003
1.214.O.	pvp1003
1.283.A.	pvp1004
1.118.B.	pvp1004
1.283.C.	pvp1004
1.269.O.	pvp1004
1.118.A.	pvp1004
1.237.B.	pvp1004
1.089.O.	pvp1004
1.033.O.	pvp1004
1.281.O.	pvp1004
1.270.B.	pvp1004
1.268.A.	pvp1004
1.274.O.	pvp1004
1.270.A.	pvp1004
1.277.A.	pvp1004
1.027.O.	pvp1004
1.194.O.	pvp1004
1.271.A.	pvp1004
1.277.B.	pvp1004
1.282.A.	pvp1004
1.271.B.	pvp1004
1.171.O.	pvp1004
1.088.O.	pvp1004
1.046.O.	pvp1004
1.022.O.	pvp1004
1.024.O.	pvp1004
1.251.O.	pvp1004
1.157.O.	pvp1004
1.133.O.	pvp1004
1.206.O.	pvp1004
1.226.O.	pvp1004
1.084.O.	pvp1004
1.030.O.	pvp1004
1.283.B.	pvp1004
1.268.B.	pvp1004
1.200.O.	pvp1004
1.196.O.	pvp1004
1.237.A.	pvp1004
1.160.O.	pvp1004
1.098.O.	pvp1004
1.228.O.	pvp1004
1.239.O.	pvp1004
1.165.O.	pvp1004
1.161.O.	pvp1004
1.170.O.	pvp1004
1.124.O.	pvp1004
1.201.B.	pvp1004
1.246.O.	pvp1004
1.256.O.	pvp1004
1.243.O.	pvp1004
1.106.O.	pvp1004
1.173.O.	pvp1004
1.273.O.	pvp1004
1.275.O.	pvp1004
1.164.O.	pvp1004
1.225.O.	pvp1004
1.191.O.	pvp1004
1.086.O.	pvp1004
1.100.O.	pvp1004
1.029.O.	pvp1004
1.267.O.	pvp1004
1.280.O.	pvp1004
1.195.O.	pvp1004
1.012.O.	pvp1004
1.023.O.	pvp1004
1.052.A.	pvp1004
1.193.O.	pvp1004
1.272.O.	pvp1004
1.176.O.	pvp1004
1.003.O.	pvp1005
1.079.O.	pvp1005
1.137.O.	pvp1005
1.122.A.	pvp1005
1.122.B.	pvp1005
1.047.O.	pvp1005
1.197.A.	pvp1005
1.243.O.	pvp1005
1.106.O.	pvp1005
1.105.O.	pvp1005
1.199.B.	pvp1005
1.181.O.	pvp1005
1.199.A.	pvp1005
1.007.O.	pvp1005
1.186.O.	pvp1005
1.039.O.	pvp1005
1.198.B.	pvp1005
1.198.A.	pvp1005
1.178.O.	pvp1005
1.207.B.	pvp1005
2.117.O.	pvp1005
1.030.O.	pvp1005
1.111.A.	pvp1005
1.111.B.	pvp1005
1.287.O.	pvp1005
1.289.A.	pvp1005
1.284.A.	pvp1005
1.113.A.	pvp1005
1.060.A.	pvp1005
1.286.O.	pvp1005
1.248.O.	pvp1005
1.173.O.	pvp1005
1.273.O.	pvp1005
1.256.O.	pvp1005
1.263.A.	pvp1005
1.149.O.	pvp1005
1.123.O.	pvp1005
1.036.O.	pvp1005
1.090.B.	pvp1005
1.071.A.	pvp1005
1.213.O.	pvp1005
1.157.O.	pvp1005
1.228.O.	pvp1005
1.205.O.	pvp1005
1.189.O.	pvp1005
1.206.O.	pvp1005
1.148.O.	pvp1005
1.082.O.	pvp1005
1.210.O.	pvp1005
1.076.O.	pvp1005
1.168.O.	pvp1005
1.134.O.	pvp1005
1.131.O.	pvp1005
12G01.O.	pvp1005
1.067.O.	pvp1005
1.144.O.	pvp1005
1.117.O.	pvp1005
1.189.C.	pvp1005
1.189.B.	pvp1005
1.278.O.	pvp1005
1.061.O.	pvp1005
1.054.O.	pvp1005
1.263.B.	pvp1005
1.236.O.	pvp1005
1.135.O.	pvp1005
1.005.O.	pvp1005
1.176.O.	pvp1005
1.085.O.	pvp1006
1.131.O.	pvp1006
1.206.O.	pvp1006
1.284.A.	pvp1006
1.291.O.	pvp1006
1.289.A.	pvp1006
1.287.O.	pvp1006
1.060.A.	pvp1006
1.047.O.	pvp1006
1.197.A.	pvp1006
1.113.A.	pvp1006
1.115.A.	pvp1006
1.064.O.	pvp1006
1.108.O.	pvp1006
1.133.O.	pvp1006
1.233.B.	pvp1006
1.233.A.	pvp1006
1.074.O.	pvp1006
1.148.O.	pvp1006
1.228.O.	pvp1006
1.157.O.	pvp1006
1.162.O.	pvp1006
1.168.O.	pvp1006
1.226.O.	pvp1006
1.167.O.	pvp1006
1.242.O.	pvp1006
1.132.O.	pvp1006
1.082.O.	pvp1006
1.110.O.	pvp1006
1.134.O.	pvp1006
1.116.O.	pvp1006
1.266.O.	pvp1006
1.189.O.	pvp1006
2.095.A.	pvp1006
1.231.O.	pvp1006
1.137.O.	pvp1006
1.127.O.	pvp1006
1.143.O.	pvp1006
1.119.O.	pvp1006
1.216.O.	pvp1006
1.177.O.	pvp1006
1.198.A.	pvp1006
1.198.B.	pvp1006
1.265.O.	pvp1006
1.147.O.	pvp1006
1.165.O.	pvp1006
1.240.O.	pvp1006
1.189.C.	pvp1006
1.189.B.	pvp1006
1.239.O.	pvp1006
1.172.O.	pvp1006
1.135.O.	pvp1006
1.213.O.	pvp1006
1.178.O.	pvp1006
1.151.O.	pvp1006
1.144.O.	pvp1006
1.276.O.	pvp1006
1.236.O.	pvp1006
2.095.B.	pvp1006
1.176.O.	pvp1006
1.115.B.	pvp1006
2.044.O.	pvp1007
1.072.O.	pvp1007
1.066.O.	pvp1007
1.083.O.	pvp1007
1.118.A.	pvp1007
1.118.B.	pvp1007
1.046.O.	pvp1007
1.022.O.	pvp1007
1.270.B.	pvp1007
1.281.O.	pvp1007
1.271.A.	pvp1007
1.282.A.	pvp1007
1.269.O.	pvp1007
1.271.B.	pvp1007
1.274.O.	pvp1007
1.009.O.	pvp1007
2.117.O.	pvp1007
1.037.O.	pvp1007
1.004.O.	pvp1007
1.068.O.	pvp1007
1.050.O.	pvp1007
1.049.O.	pvp1007
1.171.O.	pvp1007
1.104.O.	pvp1007
1.033.O.	pvp1007
1.024.O.	pvp1007
1.250.O.	pvp1007
1.285.O.	pvp1007
1.088.O.	pvp1007
1.277.A.	pvp1007
1.027.O.	pvp1007
1.277.B.	pvp1007
1.268.A.	pvp1007
1.270.A.	pvp1007
1.207.B.	pvp1007
1.032.O.	pvp1007
1.194.O.	pvp1007
1.283.A.	pvp1007
1.283.C.	pvp1007
1.251.O.	pvp1007
1.089.O.	pvp1007
1.237.B.	pvp1007
1.055.O.	pvp1007
2.096.O.	pvp1007
1.056.O.	pvp1007
1.117.O.	pvp1007
1.283.B.	pvp1007
1.268.B.	pvp1007
1.200.O.	pvp1007
1.196.O.	pvp1007
1.098.O.	pvp1007
1.160.O.	pvp1007
1.237.A.	pvp1007
1.280.O.	pvp1007
1.023.O.	pvp1007
1.103.O.	pvp1007
1.267.O.	pvp1007
1.195.O.	pvp1007
1.272.O.	pvp1007
1.012.O.	pvp1007
1.174.O.	pvp1008
1.289.A.	pvp1008
1.287.O.	pvp1008
1.284.A.	pvp1008
1.157.O.	pvp1008
1.165.O.	pvp1008
1.265.O.	pvp1008
1.261.O.	pvp1008
1.188.B.	pvp1008
1.169.O.	pvp1008
1.188.A.	pvp1008
1.188.C.	pvp1008
1.224.A.	pvp1008
1.286.O.	pvp1008
1.106.O.	pvp1008
1.186.O.	pvp1008
1.263.A.	pvp1008
1.149.O.	pvp1008
1.256.O.	pvp1008
1.291.O.	pvp1008
1.021.A.	pvp1008
1.021.B.	pvp1008
1.021.C.	pvp1008
1.228.O.	pvp1008
1.105.O.	pvp1008
1.007.O.	pvp1008
1.173.O.	pvp1008
1.182.O.	pvp1008
1.064.O.	pvp1008
1.108.O.	pvp1008
1.242.O.	pvp1008
1.208.B.	pvp1008
1.097.O.	pvp1008
2.130.O.	pvp1008
1.211.B.	pvp1008
1.225.O.	pvp1008
1.211.A.	pvp1008
1.025.O.	pvp1008
1.026.O.	pvp1008
1.152.O.	pvp1008
1.161.O.	pvp1008
1.029.O.	pvp1008
1.263.B.	pvp1008
1.150.O.	pvp1008
1.176.O.	pvp1008
1.193.O.	pvp1008
1.110.O.	pvp1008
2.044.O.	pvp1009
1.066.O.	pvp1009
1.072.O.	pvp1009
1.083.O.	pvp1009
1.281.O.	pvp1009
1.269.O.	pvp1009
1.270.B.	pvp1009
1.271.A.	pvp1009
1.282.A.	pvp1009
1.274.O.	pvp1009
1.271.B.	pvp1009
1.037.O.	pvp1009
1.068.O.	pvp1009
1.004.O.	pvp1009
1.277.A.	pvp1009
1.027.O.	pvp1009
1.270.A.	pvp1009
1.277.B.	pvp1009
1.268.A.	pvp1009
1.171.O.	pvp1009
1.283.A.	pvp1009
1.194.O.	pvp1009
1.283.C.	pvp1009
1.251.O.	pvp1009
1.250.O.	pvp1009
1.046.O.	pvp1009
1.285.O.	pvp1009
1.118.B.	pvp1009
1.089.O.	pvp1009
1.118.A.	pvp1009
1.237.B.	pvp1009
1.088.O.	pvp1009
1.033.O.	pvp1009
1.024.O.	pvp1009
1.022.O.	pvp1009
1.104.O.	pvp1009
1.032.O.	pvp1009
2.096.O.	pvp1009
1.009.O.	pvp1009
1.056.O.	pvp1009
1.283.B.	pvp1009
1.268.B.	pvp1009
1.200.O.	pvp1009
1.196.O.	pvp1009
1.098.O.	pvp1009
1.160.O.	pvp1009
1.237.A.	pvp1009
1.280.O.	pvp1009
1.023.O.	pvp1009
1.055.O.	pvp1009
1.049.O.	pvp1009
1.050.O.	pvp1009
1.103.O.	pvp1009
1.195.O.	pvp1009
1.267.O.	pvp1009
1.272.O.	pvp1009
1.012.O.	pvp1009
2.044.O.	pvp1010
1.066.O.	pvp1010
1.072.O.	pvp1010
1.083.O.	pvp1010
1.274.O.	pvp1010
1.271.B.	pvp1010
1.282.A.	pvp1010
1.271.A.	pvp1010
1.269.O.	pvp1010
1.281.O.	pvp1010
1.270.B.	pvp1010
1.118.B.	pvp1010
1.046.O.	pvp1010
1.118.A.	pvp1010
1.283.A.	pvp1010
1.270.A.	pvp1010
1.277.A.	pvp1010
1.194.O.	pvp1010
1.027.O.	pvp1010
1.277.B.	pvp1010
1.283.C.	pvp1010
1.268.A.	pvp1010
1.171.O.	pvp1010
1.250.O.	pvp1010
1.022.O.	pvp1010
1.285.O.	pvp1010
1.104.O.	pvp1010
1.088.O.	pvp1010
1.237.B.	pvp1010
1.089.O.	pvp1010
1.251.O.	pvp1010
1.024.O.	pvp1010
1.033.O.	pvp1010
1.032.O.	pvp1010
1.049.O.	pvp1010
1.050.O.	pvp1010
1.055.O.	pvp1010
1.068.O.	pvp1010
1.056.O.	pvp1010
1.037.O.	pvp1010
1.004.O.	pvp1010
1.283.B.	pvp1010
1.268.B.	pvp1010
1.200.O.	pvp1010
1.196.O.	pvp1010
1.098.O.	pvp1010
1.237.A.	pvp1010
1.160.O.	pvp1010
2.096.O.	pvp1010
1.280.O.	pvp1010
1.023.O.	pvp1010
1.103.O.	pvp1010
1.267.O.	pvp1010
1.195.O.	pvp1010
1.272.O.	pvp1010
1.012.O.	pvp1010
1.003.O.	pvp1011
1.039.O.	pvp1011
1.038.O.	pvp1011
1.079.O.	pvp1011
1.016.O.	pvp1011
1.036.O.	pvp1011
1.143.O.	pvp1011
1.119.O.	pvp1011
1.127.O.	pvp1011
1.231.O.	pvp1011
1.071.A.	pvp1011
1.144.O.	pvp1011
1.090.B.	pvp1011
1.270.B.	pvp1011
1.281.O.	pvp1011
1.270.A.	pvp1011
1.269.O.	pvp1011
1.277.A.	pvp1011
1.194.O.	pvp1011
1.268.B.	pvp1011
1.027.O.	pvp1011
1.277.B.	pvp1011
1.271.A.	pvp1011
1.282.A.	pvp1011
1.283.A.	pvp1011
1.283.B.	pvp1011
1.274.O.	pvp1011
1.283.C.	pvp1011
1.268.A.	pvp1011
1.171.O.	pvp1011
1.271.B.	pvp1011
1.137.O.	pvp1011
1.213.O.	pvp1011
1.216.O.	pvp1011
1.178.O.	pvp1011
1.198.B.	pvp1011
1.198.A.	pvp1011
1.200.O.	pvp1011
1.196.O.	pvp1011
1.265.O.	pvp1011
1.135.O.	pvp1011
1.061.O.	pvp1011
1.067.O.	pvp1011
12G01.O.	pvp1011
1.091.O.	pvp1011
1.112.O.	pvp1011
1.276.O.	pvp1011
1.042.O.	pvp1011
1.195.O.	pvp1011
1.267.O.	pvp1011
1.280.O.	pvp1011
1.236.O.	pvp1011
1.272.O.	pvp1011
1.284.A.	pvp1012
1.289.A.	pvp1012
1.287.O.	pvp1012
1.155.O.	pvp1012
1.181.O.	pvp1012
1.216.O.	pvp1012
1.286.O.	pvp1012
1.198.B.	pvp1012
1.198.A.	pvp1012
1.013.O.	pvp1012
1.223.O.	pvp1012
1.173.O.	pvp1012
1.149.O.	pvp1012
1.047.O.	pvp1012
1.245.O.	pvp1012
1.007.O.	pvp1012
1.263.A.	pvp1012
1.079.O.	pvp1012
1.232.O.	pvp1012
1.060.A.	pvp1012
1.248.O.	pvp1012
1.106.O.	pvp1012
1.105.O.	pvp1012
1.238.A.	pvp1012
1.238.B.	pvp1012
1.178.O.	pvp1012
1.160.O.	pvp1012
1.098.O.	pvp1012
1.089.O.	pvp1012
1.237.B.	pvp1012
1.256.O.	pvp1012
1.273.O.	pvp1012
1.036.O.	pvp1012
1.188.B.	pvp1012
1.169.O.	pvp1012
1.188.A.	pvp1012
1.261.O.	pvp1012
1.224.A.	pvp1012
12G01.O.	pvp1012
1.034.O.	pvp1012
1.139.B.	pvp1012
1.139.A.	pvp1012
1.034.X.	pvp1012
1.209.O.	pvp1012
1.191.O.	pvp1012
1.276.O.	pvp1012
1.029.O.	pvp1012
1.263.B.	pvp1012
1.023.O.	pvp1012
1.237.A.	pvp1012
1.012.O.	pvp1012
1.188.C.	pvp1012
1.015.O.	pvp1012
1.085.O.	pvp1013
1.131.O.	pvp1013
1.206.O.	pvp1013
1.198.B.	pvp1013
1.198.A.	pvp1013
1.178.O.	pvp1013
1.135.O.	pvp1013
1.265.O.	pvp1013
1.147.O.	pvp1013
1.162.O.	pvp1013
1.242.O.	pvp1013
1.133.O.	pvp1013
1.167.O.	pvp1013
1.132.O.	pvp1013
1.266.O.	pvp1013
1.165.O.	pvp1013
1.226.O.	pvp1013
1.115.A.	pvp1013
1.168.O.	pvp1013
1.233.A.	pvp1013
1.233.B.	pvp1013
1.239.O.	pvp1013
1.148.O.	pvp1013
1.082.O.	pvp1013
1.134.O.	pvp1013
1.172.O.	pvp1013
1.116.O.	pvp1013
1.074.O.	pvp1013
1.110.O.	pvp1013
1.240.O.	pvp1013
1.228.O.	pvp1013
1.157.O.	pvp1013
1.064.O.	pvp1013
1.108.O.	pvp1013
1.189.B.	pvp1013
1.189.O.	pvp1013
1.189.C.	pvp1013
1.137.O.	pvp1013
1.127.O.	pvp1013
1.119.O.	pvp1013
1.143.O.	pvp1013
1.231.O.	pvp1013
2.095.A.	pvp1013
1.177.O.	pvp1013
1.216.O.	pvp1013
1.213.O.	pvp1013
1.151.O.	pvp1013
1.276.O.	pvp1013
2.095.B.	pvp1013
1.115.B.	pvp1013
1.236.O.	pvp1013
1.176.O.	pvp1013
1.003.O.	pvp1014
1.243.O.	pvp1014
1.263.A.	pvp1014
1.286.O.	pvp1014
1.007.O.	pvp1014
1.144.O.	pvp1014
1.199.B.	pvp1014
1.199.A.	pvp1014
1.149.O.	pvp1014
1.248.O.	pvp1014
1.173.O.	pvp1014
1.105.O.	pvp1014
1.131.O.	pvp1014
1.127.O.	pvp1014
1.137.O.	pvp1014
1.079.O.	pvp1014
1.186.O.	pvp1014
1.106.O.	pvp1014
1.273.O.	pvp1014
1.198.A.	pvp1014
1.198.B.	pvp1014
1.132.O.	pvp1014
1.074.O.	pvp1014
1.168.O.	pvp1014
1.167.O.	pvp1014
1.245.O.	pvp1014
1.242.O.	pvp1014
1.276.O.	pvp1014
1.265.O.	pvp1014
1.236.O.	pvp1014
1.278.O.	pvp1014
1.115.A.	pvp1014
1.115.B.	pvp1014
1.165.O.	pvp1014
1.189.O.	pvp1014
1.189.B.	pvp1014
1.189.C.	pvp1014
1.240.O.	pvp1014
1.148.O.	pvp1014
1.263.B.	pvp1014
1.187.O.	pvp1014
1.047.O.	pvp1014
1.085.O.	pvp1015
1.131.O.	pvp1015
1.206.O.	pvp1015
1.147.O.	pvp1015
1.167.O.	pvp1015
1.162.O.	pvp1015
1.115.A.	pvp1015
1.226.O.	pvp1015
1.266.O.	pvp1015
1.132.O.	pvp1015
1.165.O.	pvp1015
1.064.O.	pvp1015
1.108.O.	pvp1015
1.082.O.	pvp1015
1.074.O.	pvp1015
1.189.B.	pvp1015
1.189.O.	pvp1015
1.189.C.	pvp1015
1.133.O.	pvp1015
1.242.O.	pvp1015
1.157.O.	pvp1015
1.228.O.	pvp1015
1.239.O.	pvp1015
1.233.B.	pvp1015
1.233.A.	pvp1015
1.240.O.	pvp1015
1.148.O.	pvp1015
1.168.O.	pvp1015
1.110.O.	pvp1015
1.116.O.	pvp1015
1.134.O.	pvp1015
1.172.O.	pvp1015
1.137.O.	pvp1015
1.198.A.	pvp1015
1.198.B.	pvp1015
1.213.O.	pvp1015
2.095.A.	pvp1015
1.216.O.	pvp1015
1.119.O.	pvp1015
1.143.O.	pvp1015
1.127.O.	pvp1015
1.231.O.	pvp1015
1.135.O.	pvp1015
1.177.O.	pvp1015
1.178.O.	pvp1015
1.276.O.	pvp1015
2.095.B.	pvp1015
1.265.O.	pvp1015
1.236.O.	pvp1015
1.115.B.	pvp1015
1.176.O.	pvp1015
1.283.A.	pvp1016
1.270.B.	pvp1016
1.281.O.	pvp1016
1.270.A.	pvp1016
1.269.O.	pvp1016
1.277.A.	pvp1016
1.194.O.	pvp1016
1.027.O.	pvp1016
1.268.A.	pvp1016
1.271.A.	pvp1016
1.282.A.	pvp1016
1.277.B.	pvp1016
1.271.B.	pvp1016
1.274.O.	pvp1016
1.283.C.	pvp1016
1.171.O.	pvp1016
1.022.O.	pvp1016
1.118.B.	pvp1016
1.118.A.	pvp1016
1.089.O.	pvp1016
1.033.O.	pvp1016
1.046.O.	pvp1016
1.251.O.	pvp1016
1.237.B.	pvp1016
1.032.O.	pvp1016
1.285.O.	pvp1016
1.250.O.	pvp1016
1.104.O.	pvp1016
1.199.A.	pvp1016
1.199.B.	pvp1016
1.007.O.	pvp1016
1.256.O.	pvp1016
1.263.A.	pvp1016
1.283.B.	pvp1016
1.268.B.	pvp1016
1.248.O.	pvp1016
1.200.O.	pvp1016
1.196.O.	pvp1016
1.098.O.	pvp1016
1.237.A.	pvp1016
1.160.O.	pvp1016
1.278.O.	pvp1016
1.029.O.	pvp1016
1.263.B.	pvp1016
1.195.O.	pvp1016
1.267.O.	pvp1016
1.280.O.	pvp1016
1.012.O.	pvp1016
1.103.O.	pvp1016
1.088.O.	pvp1016
1.272.O.	pvp1016
1.283.A.	pvp1017
1.281.O.	pvp1017
1.270.B.	pvp1017
1.269.O.	pvp1017
1.277.A.	pvp1017
1.194.O.	pvp1017
1.027.O.	pvp1017
1.270.A.	pvp1017
1.277.B.	pvp1017
1.271.A.	pvp1017
1.282.A.	pvp1017
1.283.C.	pvp1017
1.268.A.	pvp1017
1.274.O.	pvp1017
1.271.B.	pvp1017
1.251.O.	pvp1017
1.118.A.	pvp1017
1.118.B.	pvp1017
1.104.O.	pvp1017
1.285.O.	pvp1017
1.089.O.	pvp1017
1.237.B.	pvp1017
1.033.O.	pvp1017
1.171.O.	pvp1017
1.201.B.	pvp1017
1.223.O.	pvp1017
1.174.O.	pvp1017
1.088.O.	pvp1017
1.098.O.	pvp1017
1.237.A.	pvp1017
1.160.O.	pvp1017
1.022.O.	pvp1017
1.200.O.	pvp1017
1.283.B.	pvp1017
1.268.B.	pvp1017
1.196.O.	pvp1017
1.007.O.	pvp1017
1.005.O.	pvp1017
1.023.O.	pvp1017
1.280.O.	pvp1017
1.193.O.	pvp1017
1.103.O.	pvp1017
1.195.O.	pvp1017
1.267.O.	pvp1017
1.272.O.	pvp1017
1.012.O.	pvp1017
1.003.O.	pvp1018
1.039.O.	pvp1018
1.216.O.	pvp1018
1.178.O.	pvp1018
1.233.A.	pvp1018
1.233.B.	pvp1018
1.226.O.	pvp1018
1.242.O.	pvp1018
1.148.O.	pvp1018
1.133.O.	pvp1018
1.134.O.	pvp1018
1.131.O.	pvp1018
1.157.O.	pvp1018
1.266.O.	pvp1018
1.064.O.	pvp1018
1.082.O.	pvp1018
1.085.O.	pvp1018
1.162.O.	pvp1018
