phages	num_hosts	host_distances	sizes	module	prelim_grp	hclust_grp
1.085.O.	2	76.5575194212746	37820	none	6	17
1.133.O.	1	100	37087	none	6	17
1.015.O.	1	100	42586	2	8	7
1.086.O.	1	100	50835	none	7	2
1.021.B.	1	100	43743	14	11	10
1.021.A.	1	100	43743	14	11	10
1.021.C.	1	100	43743	14	11	10
2.092.O.	35	77.7340949446585	10580	1	15	4
1.208.B.	1	100	48927	1	8	7
1.008.O.	36	73.5705940285178	10579	1	15	4
1.069.O.	32	81.6924375811977	10579	1	15	4
1.107.B.	26	81.6924375811977	10447	1	15	4
1.107.C.	22	81.6924375811977	10447	1	15	4
1.154.O.	1	100	37136	none	1	15
1.261.O.	5	94.8980116425227	71992	2	5	11
1.134.O.	1	100	36379	none	6	17
1.116.O.	2	99.0262856786367	36314	15	6	17
1.172.O.	2	99.0262856786367	36314	15	6	17
1.210.O.	1	100	48224	none	9	18
1.211.B.	1	100	37169	none	9	22
1.211.A.	1	100	37169	none	9	22
1.135.O.	1	100	41918	none	1	1
1.213.O.	1	100	42443	none	1	1
1.214.Y.	1	100	NA	13	NoGroup	NA
1.214.O.	1	100	44205	13	9	6
1.013.O.	2	98.2937835087337	44457	13	9	6
1.155.O.	1	100	29029	3	16	23
1.216.O.	1	100	41359	none	1	1
1.030.O.	1	100	45827	none	7	2
1.142.O.	6	99.2964488686429	30434	5	17	12
1.156.O.	6	99.2964488686429	31617	5	17	12
1.217.Y.	6	99.2964488686429	NA	5	NoGroup	NA
1.217.O.	8	82.3840941751771	26912	5	17	12
1.070.O.	2	97.0023287147506	44087	none	8	7
1.077.O.	2	97.0023287147506	44047	none	8	7
1.157.O.	2	98.92054136172	35855	2	6	17
1.228.O.	2	98.92054136172	36667	2	6	17
1.100.O.	3	99.3355497178476	51268	none	7	2
1.158.O.	3	99.3355497178476	46507	none	7	2
1.175.O.	3	99.3355497178476	49066	none	7	2
1.052.A.	3	99.1074567772549	42889	12	1	15
1.101.O.	2	99.1881223516173	130250	12	2	16
1.063.O.	1	100	128641	1	2	16
1.107.A.	8	81.6924375811977	10447	1	15	4
1.136.O.	4	98.699999717133	21396	5	17	12
1.219.O.	5	98.699999717133	31617	5	17	12
1.024.O.	1	100	58892	1	4	5
1.166.O.	1	100	21800	1	16	23
1.190.O.	3	96.1472338039667	21785	none	16	23
1.087.A.	3	96.5399031261084	45674	1	7	2
1.088.O.	1	100	60385	1	4	5
3.058.O.	8	75.1606785764358	101642	1	3	19
1.137.O.	2	99.5871633375659	37958	4	1	1
1.171.O.	19	91.5044228280174	60216	4	4	5
1.194.O.	20	85.5888274903789	59294	4	4	5
1.280.O.	19	91.5044228280174	59297	4	4	5
1.283.B.	19	91.5044228280174	59530	4	4	5
1.283.A.	19	91.5044228280174	59530	4	4	5
1.188.A.	4	95.7280140279298	72305	2	5	11
1.188.B.	4	95.7280140279298	72305	2	5	11
1.188.C.	4	95.7280140279298	72305	2	5	11
1.028.O.	3	99.3813016118617	31704	5	17	12
1.159.O.	3	99.3813016118617	31617	5	17	12
2.159.A.	3	99.3813016118617	31704	5	17	12
2.159.B.	3	99.3813016118617	31617	5	17	12
1.031.O.	1	100	152942	none	3	13
1.138.O.	3	95.3592923185752	32510	none	11	10
1.223.O.	1	100	49535	none	7	2
1.012.O.	6	75.3096374511435	59979	6	4	5
1.160.O.	1	100	60734	none	4	5
1.060.A.	1	100	41105	none	1	3
1.225.O.	1	100	52615	3	7	2
1.004.O.	5	99.624434239562	42511	7	14	NA
1.037.O.	6	85.0082782911148	43111	7	14	14
1.056.O.	7	85.0082782911148	47054	7	14	14
1.066.O.	6	99.624434239562	47053	7	14	14
1.068.O.	6	99.624434239562	47038	7	14	14
1.072.O.	6	99.624434239562	43788	7	14	14
1.089.O.	4	99.3814573684643	59851	6	4	5
1.098.O.	3	99.5999941653154	59851	6	4	5
1.118.A.	4	99.3814573684643	60458	6	4	5
1.161.O.	1	100	140668	1	2	16
1.147.O.	2	98.6207854174545	37360	2	6	17
1.162.O.	2	98.6207854174545	37360	2	6	17
1.226.O.	1	100	35655	none	6	17
1.082.O.	1	100	35810	none	6	17
1.084.O.	1	100	141906	none	2	16
1.118.B.	1	100	60458	6	4	5
1.119.O.	5	99.3914199994238	44527	11	1	1
1.127.O.	5	99.3914199994238	44915	11	1	1
1.143.O.	5	99.3914199994238	44527	11	1	1
1.231.O.	5	99.3914199994238	44527	11	1	1
1.164.O.	1	100	48235	none	7	2
1.165.O.	1	100	37046	none	6	17
2.044.O.	1	100	45020	1	14	14
1.238.B.	2	97.5867846410918	70467	none	5	11
1.238.A.	2	97.5867846410918	70494	none	5	11
1.009.O.	1	100	44443	1	7	2
2.058.O.	5	92.7816864394229	101637	1	3	19
1.232.O.	1	100	56736	none	1	22
1.167.O.	2	95.9594197351815	35811	2	6	17
1.233.A.	1	100	36823	2	6	17
1.233.B.	1	100	36823	2	6	17
1.237.A.	2	99.9441178419205	60097	6	4	5
1.054.O.	1	100	41774	none	1	8
1.168.O.	1	100	37551	none	6	17
1.169.O.	3	96.2576126259772	72290	2	5	11
1.110.O.	1	100	37556	none	6	17
1.170.O.	1	100	133692	none	2	16
1.236.O.	1	100	42646	3	1	1
1.237.B.	1	100	60160	6	4	5
1.067.O.	1	100	40955	1	1	1
1.027.O.	19	85.5888274903789	59297	4	4	5
1.200.O.	18	85.5888274903789	59297	4	4	5
1.268.A.	18	91.5044228280174	59297	4	4	5
1.268.B.	18	91.5044228280174	59297	4	4	5
1.270.B.	18	91.5044228280174	59294	4	4	5
1.270.A.	18	91.5044228280174	59294	4	4	5
1.271.A.	18	91.5044228280174	59297	4	4	5
1.271.B.	18	91.5044228280174	59297	4	4	5
1.272.O.	18	91.5044228280174	59297	4	4	5
1.277.B.	18	91.5044228280174	59419	4	4	5
1.277.A.	18	91.5044228280174	59297	4	4	5
1.281.O.	18	91.5044228280174	59297	4	4	5
1.282.A.	18	91.5044228280174	59359	4	4	5
1.283.C.	18	91.5044228280174	59530	4	4	5
1.103.O.	3	95.7966295789017	61748	10	4	5
1.244.A.	2	99.4011987155136	159885	10	3	19
1.255.O.	3	85.7680405381678	159885	10	3	19
1.176.O.	2	98.5987211800923	36463	15	6	17
1.239.O.	1	100	38618	none	6	17
1.240.O.	1	100	36710	3	6	17
1.247.B.	2	75.6841958167836	43896	3	9	6
1.247.A.	2	75.6841958167836	43896	3	9	6
2.096.O.	2	76.0676111082698	44683	2	12	14
1.242.O.	1	100	36910	2	6	17
1.243.O.	1	100	48414	none	1	3
1.245.O.	2	96.4666849310965	71702	2	5	11
1.246.O.	1	100	47133	none	7	2
1.253.O.	4	82.2989954439318	47008	3	8	7
1.248.O.	1	100	48301	3	1	3
1.032.O.	1	100	60399	10	4	5
1.173.O.	1	100	48063	3	1	3
1.029.O.	1	100	46513	none	1	8
1.174.O.	2	76.4431860120028	47063	none	7	2
1.249.A.	1	100	10611	none	15	4
1.249.B.	1	100	10611	none	15	4
1.250.O.	1	100	59981	none	4	5
1.251.O.	1	100	59649	none	4	5
1.007.O.	1	100	49244	3	1	3
1.022.O.	1	100	62440	none	4	5
1.235.O.	1	100	47017	3	8	7
2.275.O.	7	81.8507679960603	348911	3	3	19
1.144.O.	1	100	44418	3	1	1
1.042.O.	1	100	49730	3	1	8
1.036.O.	1	100	40172	3	1	1
1.256.O.	5	76.1060548447153	48207	3	1	3
1.254.O.	1	100	32699	3	11	10
1.177.O.	1	100	45439	1	1	1
1.178.O.	1	100	39934	3	1	1
1.111.B.	1	100	40209	none	18	18
1.111.A.	1	100	40209	none	18	18
1.079.O.	1	100	42375	none	1	1
1.179.O.	1	100	31498	none	11	10
1.016.O.	2	98.3433123772409	48078	none	1	8
1.071.A.	2	98.3433123772409	48114	none	1	8
1.257.O.	1	100	32371	1	11	10
2.095.B.	2	84.5105139029176	44649	1	1	1
1.112.O.	1	100	48149	1	1	8
1.003.O.	2	76.7784186493631	41891	12	1	1
1.121.O.	2	74.8525188990682	145590	none	2	16
1.181.O.	1	100	50228	3	7	2
1.182.O.	2	96.9078538590622	36910	2	6	17
2.095.A.	1	100	44649	1	1	1
1.122.A.	1	100	44523	none	9	6
1.122.B.	1	100	44523	none	9	6
1.049.O.	2	91.000922733233	45021	none	12	14
1.050.O.	2	91.000922733233	45285	none	12	14
1.055.O.	1	100	47199	none	12	14
1.183.O.	1	100	37411	none	9	22
1.090.B.	1	100	41868	1	1	1
1.005.O.	1	100	50301	3	7	2
1.123.O.	1	100	46071	2	1	15
1.259.O.	1	100	28145	none	16	23
1.104.O.	1	100	60990	1	4	5
1.184.A.	1	100	33272	3	9	22
1.124.O.	2	98.9456089882741	47604	none	7	2
1.185.O.	2	98.9456089882741	43397	none	11	10
1.097.O.	1	100	76918	none	5	11
1.105.O.	1	100	49123	none	1	3
1.081.O.	2	89.3942918285223	239318	none	3	19
1.186.O.	2	97.7434880281943	48643	none	1	3
1.273.O.	2	97.7434880281943	48145	none	1	3
1.187.O.	1	100	133254	none	2	16
1.126.O.	1	100	NA	none	NoGroup	21
1.148.O.	2	96.4294117313923	36789	2	6	17
1.262.O.	1	100	47635	2	8	6
1.263.B.	1	100	49640	none	1	3
1.263.A.	1	100	49640	none	1	3
1.189.O.	1	100	36855	2	6	17
1.189.B.	1	100	36855	2	6	17
1.189.C.	2	76.221843675445	36855	2	6	17
1.076.O.	1	100	47914	none	9	18
1.038.O.	1	100	49567	none	1	8
1.113.A.	1	100	44150	none	1	3
1.264.O.	1	100	47739	none	8	7
1.106.O.	1	100	47070	none	1	3
1.091.O.	1	100	43134	1	1	1
1.191.O.	1	100	48354	none	7	2
1.083.O.	1	100	45120	none	12	14
1.193.O.	1	100	132560	none	2	16
1.046.O.	1	100	62503	none	4	5
1.265.O.	1	100	43630	3	1	1
1.266.O.	1	100	34788	none	6	17
1.195.O.	18	85.5888274903789	59738	4	4	5
1.196.O.	18	85.5888274903789	59414	4	4	5
1.267.O.	17	91.5044228280174	59414	4	4	5
1.269.O.	17	91.5044228280174	59738	4	4	5
1.274.O.	17	91.5044228280174	59409	4	4	5
1.276.O.	2	100	44334	none	1	1
1.275.O.	1	100	37915	3	9	6
1.278.O.	1	100	49282	3	1	3
1.197.A.	1	100	44587	none	1	3
1.198.A.	1	100	44472	none	1	1
1.198.B.	1	100	44343	none	1	1
1.149.O.	1	100	48481	3	1	3
1.061.O.	3	99.3998355022085	41667	none	1	1
1.284.A.	5	98.49214201873	45648	none	1	3
1.287.O.	5	98.49214201873	45562	none	1	3
1.289.A.	5	98.49214201873	44529	none	1	3
1.039.O.	2	99.5204342627475	40972	none	1	1
1.199.B.	1	100	48312	none	1	3
1.199.A.	1	100	48312	none	1	3
1.075.O.	3	99.4105799727471	51290	9	7	2
1.093.O.	3	99.4105799727471	51290	9	7	2
1.094.O.	3	99.4105799727471	51290	9	7	2
1.285.O.	1	100	59437	none	4	5
1.286.O.	1	100	49131	none	1	3
1.201.B.	1	100	50506	none	7	2
1.047.O.	1	100	46106	none	1	3
1.291.O.	1	100	43662	none	1	3
12G01.O.	1	100	41498	none	NoGroup	1
